"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "43", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "44", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath(), value=<void>"
"main", "45", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged(), value=<void>"
"main", "46", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "47", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "48", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "49", "SYSTEM", "Method Call", " caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "50", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "51", "SYSTEM", "Method Returned", " "
"main", "52", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=jdk.internal.util.EnvUtils#getEnvVar:3"
"main", "53", "SYSTEM", "Method Entered", " "
"main", "54", "SYSTEM", "Variable Write", " context=jdk.internal.util.EnvUtils#getEnvVar:3, result=""C:\ProgramData"""
"main", "55", "SYSTEM", "Method Exit", " returner=jdk.internal.util.EnvUtils#getEnvVar:3, value=""C:\ProgramData"""
"main", "56", "SYSTEM", "Type Load", " class=DiningProgramers"
"main", "57", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "58", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "59", "DiningProgramers.java:6", "Method Exit", " returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "60", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "61", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "62", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), value=<void>"
"main", "63", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>, value=<void>"
"main", "64", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "65", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "66", "DiningProgramers.java:6", "Method Exit", " returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "67", "DiningProgramers.java:6", "Method Exit", " returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "68", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "69", "DiningProgramers.java:6", "Method Exit", " returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "70", "SYSTEM", "Method Returned", " "
"main", "71", "DiningProgramers.java:6", "Method Call", " caller=SYSTEM, target=DiningProgramers#main:1"
"main", "72", "DiningProgramers.java:4", "Method Entered", " "
"main", "73", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "74", "DiningProgramers.java:4", "New Object", " object=java.lang.String[]:1"
"main", "75", "DiningProgramers.java:4", "Variable Write", " context=DiningProgramers#main:1, args=java.lang.String[]:1"
"main", "76", "DiningProgramers.java:6", "Line Step", " file=DiningProgramers.java, line=6"
"main", "77", "SYSTEM", "Type Load", " class=Forks"
"main", "78", "DiningProgramers.java:6", "New Object", " object=Forks:1"
"main", "79", "DiningProgramers.java:6", "Method Call", " caller=DiningProgramers#main:1, target=Forks:1#Forks:1"
"main", "80", "DiningProgramers.java:74", "Method Entered", " "
"main", "81", "DiningProgramers.java:73", "Line Step", " file=DiningProgramers.java, line=73"
"main", "82", "DiningProgramers.java:74", "Line Step", " file=DiningProgramers.java, line=74"
"main", "83", "DiningProgramers.java:74", "Field Write", " context=Forks:1, n=5"
"main", "84", "DiningProgramers.java:73", "Line Step", " file=DiningProgramers.java, line=73"
"main", "85", "DiningProgramers.java:73", "Method Exit", " returner=Forks:1#Forks:1, value=<void>"
"main", "86", "DiningProgramers.java:6", "Method Returned", " "
"main", "87", "DiningProgramers.java:6", "Line Step", " file=DiningProgramers.java, line=6"
"main", "88", "DiningProgramers.java:6", "Variable Write", " context=DiningProgramers#main:1, fs=Forks:1"
"main", "89", "DiningProgramers.java:8", "Line Step", " file=DiningProgramers.java, line=8"
"main", "90", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "91", "SYSTEM", "Type Load", " class=Programmer"
"main", "92", "DiningProgramers.java:8", "New Object", " object=Programmer:1"
"main", "93", "DiningProgramers.java:8", "Method Call", " caller=DiningProgramers#main:1, target=Programmer:1#Programmer:1"
"main", "94", "DiningProgramers.java:29", "Method Entered", " "
"main", "95", "DiningProgramers.java:29", "Variable Write", " context=Programmer:1#Programmer:1, fs=Forks:1"
"main", "96", "DiningProgramers.java:29", "Variable Write", " context=Programmer:1#Programmer:1, name=""James"""
"main", "97", "DiningProgramers.java:29", "Line Step", " file=DiningProgramers.java, line=29"
"main", "98", "DiningProgramers.java:26", "Line Step", " file=DiningProgramers.java, line=26"
"main", "99", "DiningProgramers.java:26", "Field Write", " context=Programmer:1, count=0"
"main", "100", "DiningProgramers.java:30", "Line Step", " file=DiningProgramers.java, line=30"
"main", "101", "DiningProgramers.java:30", "Field Write", " context=Programmer:1, name=""James"""
"main", "102", "DiningProgramers.java:31", "Line Step", " file=DiningProgramers.java, line=31"
"main", "103", "DiningProgramers.java:31", "Field Write", " context=Programmer:1, count=0"
"main", "104", "DiningProgramers.java:32", "Line Step", " file=DiningProgramers.java, line=32"
"main", "105", "DiningProgramers.java:32", "Field Write", " context=Programmer:1, fs=Forks:1"
"main", "106", "DiningProgramers.java:33", "Line Step", " file=DiningProgramers.java, line=33"
"main", "107", "DiningProgramers.java:33", "Method Exit", " returner=Programmer:1#Programmer:1, value=<void>"
"main", "108", "DiningProgramers.java:8", "Method Returned", " "
"main", "109", "DiningProgramers.java:8", "Line Step", " file=DiningProgramers.java, line=8"
"main", "110", "DiningProgramers.java:8", "Variable Write", " context=DiningProgramers#main:1, p1=Programmer:1"
"main", "111", "DiningProgramers.java:9", "Line Step", " file=DiningProgramers.java, line=9"
"main", "112", "DiningProgramers.java:9", "New Object", " object=Programmer:2"
"main", "113", "DiningProgramers.java:9", "Method Call", " caller=DiningProgramers#main:1, target=Programmer:2#Programmer:2"
"main", "114", "DiningProgramers.java:29", "Method Entered", " "
"main", "115", "DiningProgramers.java:29", "Variable Write", " context=Programmer:2#Programmer:2, fs=Forks:1"
"main", "116", "DiningProgramers.java:29", "Variable Write", " context=Programmer:2#Programmer:2, name=""Bjarne"""
"main", "117", "DiningProgramers.java:29", "Line Step", " file=DiningProgramers.java, line=29"
"main", "118", "DiningProgramers.java:26", "Line Step", " file=DiningProgramers.java, line=26"
"main", "119", "DiningProgramers.java:26", "Field Write", " context=Programmer:2, count=0"
"main", "120", "DiningProgramers.java:30", "Line Step", " file=DiningProgramers.java, line=30"
"main", "121", "DiningProgramers.java:30", "Field Write", " context=Programmer:2, name=""Bjarne"""
"main", "122", "DiningProgramers.java:31", "Line Step", " file=DiningProgramers.java, line=31"
"main", "123", "DiningProgramers.java:31", "Field Write", " context=Programmer:2, count=0"
"main", "124", "DiningProgramers.java:32", "Line Step", " file=DiningProgramers.java, line=32"
"main", "125", "DiningProgramers.java:32", "Field Write", " context=Programmer:2, fs=Forks:1"
"main", "126", "DiningProgramers.java:33", "Line Step", " file=DiningProgramers.java, line=33"
"main", "127", "DiningProgramers.java:33", "Method Exit", " returner=Programmer:2#Programmer:2, value=<void>"
"main", "128", "DiningProgramers.java:9", "Method Returned", " "
"main", "129", "DiningProgramers.java:9", "Line Step", " file=DiningProgramers.java, line=9"
"main", "130", "DiningProgramers.java:9", "Variable Write", " context=DiningProgramers#main:1, p2=Programmer:2"
"main", "131", "DiningProgramers.java:10", "Line Step", " file=DiningProgramers.java, line=10"
"main", "132", "DiningProgramers.java:10", "New Object", " object=Programmer:3"
"main", "133", "DiningProgramers.java:10", "Method Call", " caller=DiningProgramers#main:1, target=Programmer:3#Programmer:3"
"main", "134", "DiningProgramers.java:29", "Method Entered", " "
"main", "135", "DiningProgramers.java:29", "Variable Write", " context=Programmer:3#Programmer:3, fs=Forks:1"
"main", "136", "DiningProgramers.java:29", "Variable Write", " context=Programmer:3#Programmer:3, name=""Guido"""
"main", "137", "DiningProgramers.java:29", "Line Step", " file=DiningProgramers.java, line=29"
"main", "138", "DiningProgramers.java:26", "Line Step", " file=DiningProgramers.java, line=26"
"main", "139", "DiningProgramers.java:26", "Field Write", " context=Programmer:3, count=0"
"main", "140", "DiningProgramers.java:30", "Line Step", " file=DiningProgramers.java, line=30"
"main", "141", "DiningProgramers.java:30", "Field Write", " context=Programmer:3, name=""Guido"""
"main", "142", "DiningProgramers.java:31", "Line Step", " file=DiningProgramers.java, line=31"
"main", "143", "DiningProgramers.java:31", "Field Write", " context=Programmer:3, count=0"
"main", "144", "DiningProgramers.java:32", "Line Step", " file=DiningProgramers.java, line=32"
"main", "145", "DiningProgramers.java:32", "Field Write", " context=Programmer:3, fs=Forks:1"
"main", "146", "DiningProgramers.java:33", "Line Step", " file=DiningProgramers.java, line=33"
"main", "147", "DiningProgramers.java:33", "Method Exit", " returner=Programmer:3#Programmer:3, value=<void>"
"main", "148", "DiningProgramers.java:10", "Method Returned", " "
"main", "149", "DiningProgramers.java:10", "Line Step", " file=DiningProgramers.java, line=10"
"main", "150", "DiningProgramers.java:10", "Variable Write", " context=DiningProgramers#main:1, p3=Programmer:3"
"main", "151", "DiningProgramers.java:11", "Line Step", " file=DiningProgramers.java, line=11"
"main", "152", "DiningProgramers.java:11", "New Object", " object=Programmer:4"
"main", "153", "DiningProgramers.java:11", "Method Call", " caller=DiningProgramers#main:1, target=Programmer:4#Programmer:4"
"main", "154", "DiningProgramers.java:29", "Method Entered", " "
"main", "155", "DiningProgramers.java:29", "Variable Write", " context=Programmer:4#Programmer:4, fs=Forks:1"
"main", "156", "DiningProgramers.java:29", "Variable Write", " context=Programmer:4#Programmer:4, name=""Brendan"""
"main", "157", "DiningProgramers.java:29", "Line Step", " file=DiningProgramers.java, line=29"
"main", "158", "DiningProgramers.java:26", "Line Step", " file=DiningProgramers.java, line=26"
"main", "159", "DiningProgramers.java:26", "Field Write", " context=Programmer:4, count=0"
"main", "160", "DiningProgramers.java:30", "Line Step", " file=DiningProgramers.java, line=30"
"main", "161", "DiningProgramers.java:30", "Field Write", " context=Programmer:4, name=""Brendan"""
"main", "162", "DiningProgramers.java:31", "Line Step", " file=DiningProgramers.java, line=31"
"main", "163", "DiningProgramers.java:31", "Field Write", " context=Programmer:4, count=0"
"main", "164", "DiningProgramers.java:32", "Line Step", " file=DiningProgramers.java, line=32"
"main", "165", "DiningProgramers.java:32", "Field Write", " context=Programmer:4, fs=Forks:1"
"main", "166", "DiningProgramers.java:33", "Line Step", " file=DiningProgramers.java, line=33"
"main", "167", "DiningProgramers.java:33", "Method Exit", " returner=Programmer:4#Programmer:4, value=<void>"
"main", "168", "DiningProgramers.java:11", "Method Returned", " "
"main", "169", "DiningProgramers.java:11", "Line Step", " file=DiningProgramers.java, line=11"
"main", "170", "DiningProgramers.java:11", "Variable Write", " context=DiningProgramers#main:1, p4=Programmer:4"
